Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa04156	positive regulation of polynucleotide adenylyltransferase activity
Mcavernosa13061	Heat shock cognate 71 kDa protein
Mcavernosa08834	structural constituent of ribosome
Mcavernosa32025	inositol-1,4,5-trisphosphate 3-kinase activity
Mcavernosa11279	Arylsulfatase
Mcavernosa09074	calmodulin
Mcavernosa26869	lipid catabolic process
Mcavernosa00949	TENA/THI-4/PQQC family
Mcavernosa22650	Tnf receptor-associated factor 2
Mcavernosa06652	Golgi to endosome transport
Mcavernosa31597	uridine kinase activity
Mcavernosa34147	PFAM Appr-1-p processing domain protein
Mcavernosa08351	regulation of kinetochore assembly
Mcavernosa09739	Calcyphosin-like protein
Mcavernosa16414	negative regulation of protein localization to cell-cell adherens junction
Mcavernosa19486	HNH endonuclease
Mcavernosa27041	calcium ion transport
Mcavernosa04106	histone H3-K36 methylation
Mcavernosa11092	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
Mcavernosa31368	Tectonic-2
Mcavernosa05249	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
Mcavernosa02658	Trifunctional purine biosynthetic protein
Mcavernosa12644	Domain of unknown function (DUF543)
Mcavernosa01988	dendritic transport of ribonucleoprotein complex
Mcavernosa12023	cyclic-GMP-AMP synthase activity
Mcavernosa06155	Ras subfamily of RAS small GTPases
Mcavernosa04609	Uncharacterised protein KIAA1328
Mcavernosa30718	3'-5' exonuclease activity
Mcavernosa26049	Malignant T-cell-amplified sequence
Mcavernosa03117	response to diterpene
Mcavernosa06270	sexual reproduction
Mcavernosa24172	Si ch73-330k17.3
Mcavernosa05077	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Mcavernosa07903	factor 1-like
Mcavernosa03092	mitotic spindle assembly checkpoint
Mcavernosa06899	Moesin ezrin radixin homolog
Mcavernosa31494	WD40 repeat-containing protein SMU1
Mcavernosa12904	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa27108	maleylacetoacetate isomerase activity
Mcavernosa28278	chromatin assembly or disassembly
Mcavernosa23472	Transposase IS4
Mcavernosa20007	Cyclic nucleotide-monophosphate binding domain
Mcavernosa32743	cell-cell adhesion
Mcavernosa21415	activation of NF-kappaB-inducing kinase activity
Mcavernosa11886	myotome development
Mcavernosa17866	Appr-1'-p processing enzyme
Mcavernosa15303	Helicase associated domain (HA2)  Add an annotation
Mcavernosa25254	Lipase maturation factor 2
Mcavernosa27379	mitotic spindle midzone assembly
Mcavernosa04236	Nuclear transcription factor, X-box binding 1
Mcavernosa15723	heme binding
Mcavernosa31746	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Mcavernosa25561	G-protein coupled receptor activity
Mcavernosa03674	Malic enzyme
Mcavernosa06817	molybdopterin cofactor binding
Mcavernosa21017	Family of unknown function (DUF716)
Mcavernosa08570	May play a role in anchoring the cytoskeleton to the plasma membrane
Mcavernosa34001	NUC153 domain
Mcavernosa29115	WD repeat-containing protein
Mcavernosa32672	negative chemotaxis
Mcavernosa31745	positive regulation of protein monoubiquitination
Mcavernosa05343	Cas1 domain-containing protein
Mcavernosa12131	extracellularly glycine-gated chloride channel activity
Mcavernosa14069	tetratricopeptide repeat
Mcavernosa11718	translation release factor activity, codon nonspecific
Mcavernosa15370	Transmembrane protein 145
Mcavernosa27198	smoothened signaling pathway
Mcavernosa24880	rRNA processing
Mcavernosa25246	chromosome condensation
Mcavernosa14278	metalloendopeptidase activity
Mcavernosa10353	Sorting nexin family member 21
Mcavernosa15413	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa27205	Helicase conserved C-terminal domain
Mcavernosa22026	peptidyl-dipeptidase activity
Mcavernosa28367	Hypoxia up-regulated
Mcavernosa05526	carbohydrate binding
Mcavernosa14396	small ribosomal subunit rRNA binding
Mcavernosa29212	magnesium ion transmembrane transporter activity
Mcavernosa15838	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Mcavernosa04434	carbohydrate binding
Mcavernosa07497	Belongs to the eukaryotic ribosomal protein eS21 family
Mcavernosa09132	sideroflexin
Mcavernosa08669	Chromosome 6 open reading frame 120
Mcavernosa12712	thiol-dependent ubiquitin-specific protease activity
Mcavernosa11600	Transmembrane protein 87B
Mcavernosa05001	melatonin receptor activity
Mcavernosa03901	Protein of unknown function (DUF1387)
Mcavernosa07573	regulation of epidermal growth factor receptor signaling pathway
Mcavernosa08050	threonine-type endopeptidase activity
Mcavernosa09432	homophilic cell adhesion via plasma membrane adhesion molecules
Mcavernosa30567	Ubiquitin specific peptidase like 1
Mcavernosa07912	NACHT domain
Mcavernosa32869	complement component C3a binding
Mcavernosa08885	metalloendopeptidase activity
Mcavernosa11432	ATP-dependent RNA helicase activity
Mcavernosa02669	tyrosyl-tRNA aminoacylation
Mcavernosa08451	wybutosine biosynthetic process
Mcavernosa33451	phospholipid catabolic process
Mcavernosa27876	very long-chain fatty acid catabolic process
Mcavernosa03860	protein 3 homolog
Mcavernosa31850	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
Mcavernosa26925	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Mcavernosa08895	IPT/TIG domain
Mcavernosa34493	DNA polymerase binding
Mcavernosa20923	tRNA 2'-phosphotransferase 1
Mcavernosa14990	phosphatidylserine catabolic process
Mcavernosa21934	Homeodomain
Mcavernosa00061	Nuclear export mediator factor
Mcavernosa22454	transmembrane receptor protein tyrosine kinase activity
Mcavernosa18797	GTPase activator activity
Mcavernosa26854	pre-mRNA cleavage required for polyadenylation
Mcavernosa01621	Tudor domain containing 9
Mcavernosa30747	Ferric-chelate reductase 1
Mcavernosa09200	transcription by RNA polymerase I
Mcavernosa14581	Chromosome 11 open reading frame 65
Mcavernosa23036	Belongs to the DEAD box helicase family
Mcavernosa04565	It is involved in the biological process described with
Mcavernosa13250	tRNA methyltransferase activity
Mcavernosa21372	Peyer's patch morphogenesis
Mcavernosa06682	alkaline phosphatase activity
Mcavernosa29513	cell cycle DNA replication initiation
Mcavernosa08340	tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity
Mcavernosa12410	heavy chain 12
Mcavernosa02342	Endoplasmic reticulum-golgi intermediate compartment
Mcavernosa18560	Bifunctional heparan sulfate N-deacetylase N-sulfotransferase 3
Mcavernosa03280	Catalyzes the hydrolysis of N-formyl-L-kynurenine to L- kynurenine, the second step in the kynurenine pathway of tryptophan degradation. Kynurenine may be further oxidized to nicotinic acid, NAD(H) and NADP(H). Required for elimination of toxic metabolites
Mcavernosa03327	Belongs to the peptidase M10A family
Mcavernosa23560	protein serine/threonine kinase activity
Mcavernosa23625	Golgi to endosome transport
Mcavernosa03048	dynein intermediate chain binding
Mcavernosa10605	Zinc finger, C2H2 type
Mcavernosa21328	tumor necrosis factor receptor binding
Mcavernosa04809	Transmembrane protein 87A
Mcavernosa14270	carbohydrate binding
Mcavernosa18134	prostaglandin-D synthase activity
Mcavernosa06470	Zgc 110699
Mcavernosa16584	nucleic acid binding
Mcavernosa26523	proteasome assembly
Mcavernosa03798	MoaC family
Mcavernosa25623	Ion channel
Mcavernosa12521	photoreceptor cell maintenance
Mcavernosa14722	ubiquitin conjugating enzyme binding
Mcavernosa24449	selenium binding
Mcavernosa03010	positive regulation of bone development
Mcavernosa03435	alanine-oxo-acid transaminase activity
Mcavernosa12419	nitrogen permease
Mcavernosa21321	aryl sulfotransferase activity
Mcavernosa06786	cytoskeletal anchoring at plasma membrane
Mcavernosa26659	protein C-terminus binding
Mcavernosa11319	mismatched DNA binding
Mcavernosa23335	Cyclin-dependent kinase-like 4
Mcavernosa04017	frizzled binding
Mcavernosa10849	Belongs to the actin family
Mcavernosa22752	double-stranded RNA adenosine deaminase activity
Mcavernosa22069	fibroblast growth factor-activated receptor activity
Mcavernosa11384	RNA binding
Mcavernosa25368	O-acyltransferase
Mcavernosa19476	ADP biosynthetic process
Mcavernosa30153	histone H3-K9 dimethylation
Mcavernosa21674	positive regulation of motile cilium assembly
Mcavernosa11213	box H/ACA snoRNA 3'-end processing
Mcavernosa20017	negative regulation of epithelial cell proliferation
Mcavernosa03036	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa07490	Calcineurin-like phosphoesterase superfamily domain
Mcavernosa14625	ubiquitin-protein transferase activity
Mcavernosa04061	calcium ion binding
Mcavernosa10594	histone acetyltransferase activity (H4-K12 specific)
Mcavernosa01356	glutamate receptor
Mcavernosa24997	lipoprotein receptor-related protein
Mcavernosa31856	ER lipid raft associated
Mcavernosa34105	CUB and zona pellucida-like domain-containing protein
Mcavernosa10382	Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2
Mcavernosa11703	zinc ion binding
Mcavernosa23702	Epidermal growth factor-like domain.
Mcavernosa06959	chromatin remodeling
Mcavernosa28510	Rab-GTPase-TBC domain
Mcavernosa23194	Coagulation factor 5/8 C-terminal domain, discoidin domain
Mcavernosa00442	Thioredoxin
Mcavernosa26866	Exonuclease 3'-5' domain containing 2
Mcavernosa05808	interleukin-5 receptor binding
Mcavernosa05729	ubiquitin-protein transferase activity
Mcavernosa09872	regulation of cell shape
Mcavernosa00993	distal tubule morphogenesis
Mcavernosa07503	UDP-N-acetylglucosamine 4-epimerase activity
Mcavernosa29653	L-alpha-amino acid transmembrane transport
Mcavernosa23697	positive regulation of platelet-derived growth factor receptor-beta signaling pathway
Mcavernosa31003	Amiloride-sensitive sodium channel
Mcavernosa00099	retrograde transport, vesicle recycling within Golgi
Mcavernosa27383	beta-catenin binding
Mcavernosa06811	negative regulation of negative chemotaxis
Mcavernosa06854	cytoplasmic sequestering of CFTR protein
Mcavernosa08523	branchiomeric skeletal muscle development
Mcavernosa09120	glutathione hydrolase activity
Mcavernosa26863	G-protein coupled receptor activity
Mcavernosa22785	antigen processing and presentation of exogenous peptide antigen via MHC class I
Mcavernosa23713	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
Mcavernosa09160	MFS/sugar transport protein
Mcavernosa30054	protein binding, bridging involved in substrate recognition for ubiquitination
Mcavernosa32174	Endonuclease/Exonuclease/phosphatase family
Mcavernosa20014	negative regulation of epithelial cell proliferation
Mcavernosa31298	G-protein coupled receptor activity
Mcavernosa06780	Chromosome 5 open reading frame 28
Mcavernosa07485	Ribosomal subunit 39S
Mcavernosa24619	Protein of unknown function (DUF917)
Mcavernosa24483	death domain-associated protein
Mcavernosa09412	cortical actin cytoskeleton organization
Mcavernosa15519	Interferon-inducible GTPase (IIGP)
Mcavernosa06936	poly(A) RNA polymerase
Mcavernosa10228	phosphatidylinositol binding
Mcavernosa08974	adult feeding behavior
Mcavernosa22494	metalloendopeptidase activity
Mcavernosa14408	Protein transport protein SEC61 subunit
Mcavernosa22921	histidine transport
Mcavernosa05232	Cell adhesion molecule
Mcavernosa28820	detection of mechanical stimulus
Mcavernosa15922	7S RNA binding
Mcavernosa31186	regulation of barbed-end actin filament capping
Mcavernosa31815	13-prostaglandin reductase activity
Mcavernosa33208	Transposase IS4
Mcavernosa32500	Domain of unknown function (DUF4566)
Mcavernosa04247	importin-alpha family protein binding
Mcavernosa29673	serine protease
Mcavernosa31408	phosphoprotein, 21
Mcavernosa30075	Ion channel
Mcavernosa27462	rRNA processing
Mcavernosa32284	peptidase inhibitor activity
Mcavernosa01211	intein-mediated protein splicing
Mcavernosa16019	ADP catabolic process
Mcavernosa15522	cholesterol O-acyltransferase activity
Mcavernosa00281	snRNA pseudouridine synthesis
Mcavernosa09175	DNA polymerase binding
Mcavernosa29412	Broad-Complex, Tramtrack and Bric a brac
Mcavernosa15248	NIN1 RPN12 binding protein 1 homolog (S. cerevisiae)
Mcavernosa13972	arginine transport
Mcavernosa13142	neuroligin family protein binding
Mcavernosa11122	renal sodium ion absorption
Mcavernosa24355	GTP binding. It is involved in the biological process described with
Mcavernosa19530	ubiquitin-like protein-specific protease activity
Mcavernosa18419	Ectonucleoside triphosphate diphosphohydrolase 7
Mcavernosa21912	GTP binding. It is involved in the biological process described with
Mcavernosa06902	Belongs to the universal ribosomal protein uL13 family
Mcavernosa05092	Protein phosphatase 1, regulatory subunit 27
Mcavernosa29856	Belongs to the MIP aquaporin (TC 1.A.8) family
Mcavernosa32584	midbrain-hindbrain boundary initiation
Mcavernosa26587	heavy chain
Mcavernosa16244	MYCBP associated protein
Mcavernosa06502	NTPase, KAP family P-loop
Mcavernosa23800	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa00245	positive regulation of collagen binding
Mcavernosa08575	radial glial cell differentiation
Mcavernosa23638	ATP-binding cassette sub-family A
Mcavernosa04845	regulation of protein K48-linked deubiquitination
Mcavernosa26228	amyloid-beta formation
Mcavernosa08759	calcium channel activity
Mcavernosa00079	Maguk P55 subfamily member
Mcavernosa32085	ubiquitin conjugation factor E4
Mcavernosa08011	palmitoyl-(protein) hydrolase activity
Mcavernosa18711	Protein tyrosine phosphatase domain-containing protein 1
Mcavernosa13351	Domain of unknown function with conserved HDNR motif
Mcavernosa00380	Multidrug resistance-associated protein 4-like
Mcavernosa24601	nipped-B-like protein
Mcavernosa15112	cubilin (intrinsic factor-cobalamin receptor)
Mcavernosa14262	hematopoietic progenitor cell differentiation
Mcavernosa25190	Mitochondrial import inner membrane translocase subunit
Mcavernosa23831	glycine-rich protein
Mcavernosa08967	DNA binding
Mcavernosa28415	5S rRNA binding
Mcavernosa12777	Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Mcavernosa32533	Poly (ADP-ribose) polymerase
Mcavernosa33110	Phospholipase A2
Mcavernosa32777	L-fuconate dehydratase activity
Mcavernosa06341	protein-arginine omega-N asymmetric methyltransferase activity
Mcavernosa17706	L-alpha-amino acid transmembrane transport
Mcavernosa05632	GATS-like protein
Mcavernosa16334	polypeptide N-acetylgalactosaminyltransferase activity
Mcavernosa20116	signal peptide processing
Mcavernosa04409	inactivation of paternal X chromosome
Mcavernosa24682	opsin transport
Mcavernosa00270	GPI anchor biosynthetic process
Mcavernosa31876	Transferase activity, transferring acyl groups other than amino-acyl groups
Mcavernosa11967	structural constituent of cytoskeleton
Mcavernosa07803	Short calmodulin-binding motif containing conserved Ile and Gln residues.
Mcavernosa13979	EVE domain
Mcavernosa00448	acidic dipeptidase
Mcavernosa23741	neurotrophin receptor activity
Mcavernosa25275	protein neddylation
Mcavernosa26185	A disintegrin and metalloproteinase with thrombospondin motifs
Mcavernosa34825	clathrin binding
Mcavernosa13467	carnitine O-octanoyltransferase
Mcavernosa14803	regulation of podosome assembly
Mcavernosa31215	WD domain, G-beta repeat
Mcavernosa29484	acid phosphatase activity
Mcavernosa29285	superoxide-generating NADPH oxidase activity
Mcavernosa32917	protein tyrosine phosphatase activity
Mcavernosa19425	sequence-specific DNA binding
Mcavernosa34773	Activating transcription factor
